,name,param,proto_name,spacegroup,species,wyckoffs,proto_compo,name_short
1077.0,285032-647358-CuO2,"{'a': 1.3761, 'b': 4.134873919046581, 'c': 4.722040549378678, 'ym1': 0.510417}",AB2_1_a_m_47,47,"['Cu', 'O']","['a', 'm']",AB2,CuO2
419.0,2571-4402-B2W,"{'a': 3.018122962715979, 'c': 4.649092224981173, 'zf0': 0.6353489999999999, 'zf3': 0.023050000000000015}",AB2_4_f_bcf_194,194,"['W', 'B', 'B', 'B']","['f', 'b', 'c', 'f']",AB2,B2W
728.0,17208-21650-SiO2,"{'a': 5.669259, 'b': 3.97342756787087, 'xg0': 0.2512060000000001, 'yg0': 0.8673310000000001, 'zg0': 0.5609599999999999, 'zc1': 0.5547649999999998, 'zc2': 0.8165694999999998, 'xe3': 0.7868955, 'xf4': 0.7198685}",AB2_8_g_c2ef_98,98,"['Si', 'O', 'O', 'O', 'O']","['g', 'c', 'c', 'e', 'f']",AB2,SiO2
385.0,16935-21357-H2S,"{'a': 7.892332, 'b': 1.2197038847326747, 'c': 1.0088635399524502, 'xc0': 0.7156145, 'ze1': 0.014973500000000028, 'xf2': 0.4030075000000001, 'yf2': 0.18343299999999996, 'zf2': 0.10157399999999998, 'xf3': 0.6664505000000001, 'yf3': 0.932137, 'zf3': 0.6540649999999999}",AB2_8_ce_f2_73,73,"['S', 'S', 'H', 'H']","['c', 'e', 'f', 'f']",AB2,H2S
1159.0,10154-14021-VS2,"{'a': 3.163334, 'b': 1.7331125957613076, 'c': 7.169509131821048, 'yf1': 0.6665030000000001, 'zf1': 0.935276}",AB2_2_a_f_63,63,"['V', 'S']","['a', 'f']",AB2,VS2
1440.0,2724-4573-SbO2,"{'a': 10.465552, 'xf4': 0.2706710000000001}",AB2_8_cd_abf_227,227,"['Sb', 'Sb', 'O', 'O', 'O']","['c', 'd', 'a', 'b', 'f']",AB2,SbO2
52.0,17186-21626-NaSn2,"{'a': 13.524460108610473, 'b': 0.5123030379296862, 'c': 1.1484240877902772, 'beta': 102.60445824825166, 'yg0': 0.750011, 'xi1': 0.2721495, 'zi1': 0.08841400000000002, 'xi2': 0.09255050000000002, 'zi2': 0.4164040000000001, 'xi3': 0.6153115, 'zi3': 0.4333750000000001, 'xi4': 0.672735, 'zi4': 0.11341800000000003, 'xi5': 0.8852800000000001, 'zi5': 0.11423100000000003, 'xj6': 0.17185450000000002, 'yj6': 0.7829285, 'zj6': 0.25220900000000007, 'xj7': 0.4545955, 'yj7': 0.2149485, 'zj7': 0.25272600000000006, 'xj8': 0.348687, 'yj8': 0.28192900000000004, 'zj8': 0.3964640000000001}",AB2_8_gi3_i2j3_12,12,"['Na', 'Na', 'Na', 'Na', 'Sn', 'Sn', 'Sn', 'Sn', 'Sn']","['g', 'i', 'i', 'i', 'i', 'i', 'j', 'j', 'j']",AB2,NaSn2
107.0,12861-16879-SeO2,"{'a': 5.073105, 'b': 0.8745750383640787, 'c': 2.8998623131198746, 'ya0': 0.0952464999999999, 'za0': 0.191302, 'ya1': 0.6535004999999999, 'za1': 0.440219, 'yb2': 0.9646615, 'zb2': 0.005049, 'yb3': 0.48823549999999993, 'zb3': 0.253156, 'ya4': 0.9565294999999999, 'za4': 0.086637, 'ya5': 0.5140354999999999, 'za5': 0.335565, 'yb6': 0.8508855, 'zb6': 0.22729, 'yb7': 0.4018084999999999, 'zb7': 0.485404, 'xc8': 0.7499680000000001, 'yc8': 0.38079149999999995, 'zc8': 0.170035, 'xc9': 0.748237, 'yc9': 0.9367874999999999, 'zc9': 0.419403}",AB2_8_a2b2_a2b2c2_26,26,"['Se', 'Se', 'Se', 'Se', 'O', 'O', 'O', 'O', 'O', 'O']","['a', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'c', 'c']",AB2,SeO2
831.0,30343-111550-SiO2,"{'a': 9.689440575139104, 'b': 0.5865533676507849, 'c': 1.2778212155526856, 'beta': 112.97432908147522, 'xf0': 0.9094865, 'yf0': 0.8428485000000001, 'zf0': 0.38191949999999997, 'xf1': 0.2225385, 'yf1': 0.9071355000000001, 'zf1': 0.3818394999999999, 'xf4': 0.34281049999999996, 'yf4': 0.12477750000000004, 'zf4': 0.4352905, 'xf5': 0.046545999999999976, 'yf5': 0.8747760000000001, 'zf5': 0.34278049999999993, 'xf6': 0.766053, 'yf6': 0.8755010000000001, 'zf6': 0.25020850000000006}",AB2_8_f2_acf3_15,15,"['Si', 'Si', 'O', 'O', 'O', 'O', 'O']","['f', 'f', 'a', 'c', 'f', 'f', 'f']",AB2,SiO2
1456.0,17215-21657-SiO2,"{'a': 10.06652, 'yg1': 0.279014}",AB2_12_d_g_230,230,"['Si', 'O']","['d', 'g']",AB2,SiO2
